roc_auc,pr_auc,macro_f1,balanced_accuracy,brier,nll,ece,calibration_slope,calibration_intercept,setting,seed,model,class_weight,calibration,scope,method,nominal_coverage,observed_coverage,coverage_gap,average_set_size,singleton_rate,ambiguity_rate,empty_set_rate,pass_coverage,fail_coverage,automatic_coverage,automatic_error_rate,deferral_rate,n_automatic,undercoverage,overcoverage,n_test,n_pass,n_fail,coverage_ci_lower,coverage_ci_upper,pass_ci_lower,pass_ci_upper,fail_ci_lower,fail_ci_upper,automatic_error_ci_lower,automatic_error_ci_upper,automatic_false_negative_fraction,automatic_false_positive_fraction
,,,,,,,,,course_1,42,logistic,unweighted,platt,full,MCP,0.9,0.8585714285714285,0.04142857142857148,1.58,0.42,0.58,0.0,0.8292682926829268,0.8887814313346228,0.42,0.336734693877551,0.58,882.0,0.04142857142857148,0.0,2100.0,1066.0,1034.0,0.8430121901294046,0.872821217224487,0.8055077990508723,0.8506641918661999,0.8681603814934072,0.9065244156562368,0.30631334768705304,0.36857204277163064,0.11121856866537717,0.17073170731707318
,,,,,,,,,course_1,42,logistic,unweighted,platt,full,EQ,0.9,0.8471428571428572,0.052857142857142825,1.5533333333333332,0.44666666666666666,0.5533333333333333,0.0,0.8161350844277674,0.879110251450677,0.44666666666666666,0.3422174840085288,0.5533333333333333,938.0,0.052857142857142825,0.0,2100.0,1066.0,1034.0,0.8311192538272887,0.8618987461209016,0.7917598700057129,0.8382400187095389,0.8578239542217106,0.8975900768296835,0.3125535779430901,0.37316847513935786,0.12088974854932302,0.18386491557223264
,,,,,,,,,course_1,42,logistic,unweighted,platt,full,EIQ-batch,0.9,0.8966666666666666,0.0033333333333334103,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.9165103189493433,0.8762088974854932,0.3333333333333333,0.31,0.6666666666666666,700.0,0.0033333333333334103,0.0,2100.0,1066.0,1034.0,0.8829152273842263,0.9089695379886712,0.8983716712877369,0.9316578556842864,0.8547311444824962,0.8949016567394229,0.2768535333257878,0.3452204484403754,0.12379110251450677,0.08348968105065666
0.6364382811787246,0.5837283643338267,0.6048885834887602,0.6057476507617918,0.23606970635844607,0.6731694779127543,0.03241661746808973,0.6526406941372674,-0.11620594482489885,course_1,42,logistic,unweighted,platt,heldout,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,unweighted,platt,heldout,MCP,0.9,0.8590476190476191,0.04095238095238096,1.598095238095238,0.40190476190476193,0.5980952380952381,0.0,0.8212389380530973,0.9030927835051547,0.40190476190476193,0.35071090047393366,0.5980952380952381,422.0,0.04095238095238096,0.0,1050.0,565.0,485.0,0.8366890973180601,0.8787885427851931,0.787508475933063,0.8506306652479635,0.8735099830956863,0.9263403424950853,0.30671470149506724,0.3974005334354663,0.09690721649484536,0.17876106194690267
,,,,,,,,,course_1,42,logistic,unweighted,platt,heldout,EQ,0.9,0.8533333333333334,0.046666666666666634,1.5771428571428572,0.4228571428571429,0.5771428571428572,0.0,0.8176991150442477,0.8948453608247423,0.4228571428571429,0.34684684684684686,0.5771428571428572,444.0,0.046666666666666634,0.0,1050.0,565.0,485.0,0.8306473404462248,0.8734433876129449,0.7837531291095541,0.8473541758050147,0.8643734035267476,0.9191116980110159,0.3040588752684988,0.39226222827977414,0.10515463917525773,0.18230088495575222
,,,,,,,,,course_1,42,logistic,unweighted,platt,heldout,EIQ-batch,0.9,0.9057142857142857,0.005714285714285672,1.6847619047619047,0.31523809523809526,0.6847619047619048,0.0,0.9150442477876106,0.8948453608247423,0.31523809523809526,0.2990936555891239,0.6847619047619048,331.0,0.0,0.005714285714285672,1050.0,565.0,485.0,0.8865302358951658,0.9219405192347702,0.8891582383443543,0.9353245638977984,0.8643734035267476,0.9191116980110159,0.25230310249137367,0.35049399298054396,0.10515463917525773,0.08495575221238938
,,,,,,,,,course_1,42,logistic,unweighted,platt,heldout,EIQ-independent,0.9,0.9057142857142857,0.005714285714285672,1.6847619047619047,0.31523809523809526,0.6847619047619048,0.0,0.9150442477876106,0.8948453608247423,0.31523809523809526,0.2990936555891239,0.6847619047619048,331.0,0.0,0.005714285714285672,1050.0,565.0,485.0,0.8865302358951658,0.9219405192347702,0.8891582383443543,0.9353245638977984,0.8643734035267476,0.9191116980110159,0.25230310249137367,0.35049399298054396,0.10515463917525773,0.08495575221238938
0.6400234430851972,0.608961262165844,0.6071106954560226,0.6071459676804773,0.24321737006739433,0.8299820393180785,0.0658203153787576,0.26353262637037966,-0.0337563268262749,course_1,42,logistic,unweighted,isotonic,full,probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,course_1,42,logistic,unweighted,isotonic,full,MCP,0.9,0.8966666666666666,0.0033333333333334103,1.6904761904761905,0.30952380952380953,0.6904761904761905,0.0,0.8714821763602252,0.9226305609284333,0.30952380952380953,0.33384615384615385,0.6904761904761905,650.0,0.0033333333333334103,0.0,2100.0,1066.0,1034.0,0.8829152273842263,0.9089695379886712,0.8500500689395981,0.8902465361976118,0.9047363545978698,0.9373961238956486,0.2986621589636199,0.3709825277015696,0.07736943907156674,0.12851782363977485
